1	2	6	3	0	14.07315979	1.93770754	2.754802607	9.029275055	14.75181014	20.51828668	22.43267667	26.38731631	23.67063361	20.15907278	13.54694701	7.139255813	3.950879456
2	2	7	2	1	14.05927282	4.306115326	7.210907506	9.248506737	13.07876653	15.30396394	17.94039586	22.48712069	23.42919369	19.19292541	15.68419394	11.38888999	6.43371027
3	2	2	4	2	24.8866972	12.99780516	15.74026721	19.7312213	25.05498811	29.73505195	31.62994105	35.69679793	34.70400066	31.87472901	25.77371334	18.89906088	14.39879516
4	2	11	3	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5	1	7	1	0	9.252749798	1.502533334	2.279714779	4.26077797	7.228766572	10.45380627	13.1696708	18.22153663	17.99393124	14.25905796	10.7718974	4.401863104	3.429244574
6	2	1	4	3	22.76767662	22.85929316	23.17252933	23.15893621	22.90416225	22.08670447	21.06671668	20.11669262	22.75455606	24.74115746	24.88881667	23.8796469	22.64182455
7	2	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
8	1	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
9	2	12	4	4	15.19874104	22.34961494	21.92008824	18.56944062	15.37508758	11.23959004	9.655108655	8.035286903	10.18916295	12.6680332	14.92183758	18.39871975	21.04134177
10	2	6	2	0	7.483901104	-5.130754933	-3.177096483	1.362259571	6.074055148	11.90794835	13.9469006	19.0030523	18.96019703	14.67861795	9.249494799	2.204856739	-1.993546852
11	1	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
12	1	11	1	5	23.51238708	29.98257884	29.130421	27.88817612	24.4534807	19.85697108	18.05196855	16.30008213	17.00618965	20.56111339	24.56467177	26.86959215	29.56994906
13	1	7	1	6	7.275957017	-3.327464681	-1.068886308	2.305382286	7.175033002	10.53467	13.18766546	16.49518612	16.72932439	12.096282	8.12337685	2.709029556	-0.733789198
14	2	6	2	0	14.37591512	4.104864053	4.730564956	7.944086406	11.30760103	17.81444136	20.29029514	25.46835454	25.47662395	21.17277403	15.52620412	9.424170794	6.169775815
15	1	8	4	0	26.30628911	23.37332811	23.76989625	23.54684703	25.04098862	26.44996396	27.39300177	29.03925217	29.23226585	28.84649713	27.66245116	25.640298	24.61387542
16	1	6	4	7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
17	2	5	3	8	26.33394475	19.47852615	23.10794821	26.73168612	29.59305732	30.14571683	30.10776158	28.81284775	29.20745294	28.59633471	26.36905494	23.36663513	20.42111556
18	1	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
19	2	7	2	0	7.834054812	-5.156149491	-2.297496187	1.757654463	8.423841919	14.19792233	15.96820859	17.95078692	18.19343819	13.55171529	7.647178682	1.966738058	-0.524483772
20	1	7	1	9	10.71103005	3.240749531	4.146670313	6.747294652	9.631904591	13.39467915	15.21991018	18.32685324	17.97761744	14.92706275	11.43522884	6.461142312	4.880113918
21	2	9	4	0	25.3669695	21.93891671	23.19781192	24.47195872	26.32467851	27.632914	27.38079669	27.14853839	27.20154179	26.95443133	25.50065861	23.74064395	23.03416651
22	2	3	4	10	28.69200149	27.72122274	29.62040086	31.85393844	32.47141433	31.29057068	30.09235697	26.40596822	25.22580923	26.07432763	27.8553003	29.03486997	27.97032289
23	1	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
24	2	5	3	0	5.94094934	-2.571061546	0.136913861	1.850552272	5.874124623	8.319397315	9.955387114	12.13893842	12.63627823	10.92586233	6.616487092	3.291108196	0.23661494
25	2	12	4	11	20.46787413	21.88752565	21.20165695	20.93265821	20.36999072	18.52995446	17.78310112	17.80331236	19.58684878	21.92652349	22.42041199	22.12088042	21.86070248
26	2	7	2	0	10.67130209	-0.471000488	2.84464998	5.908750514	10.82335949	13.358734	16.0157498	19.9800141	20.56811009	15.39791886	11.56759411	7.096169824	1.904084249
27	2	1	4	12	23.55089756	27.6601451	26.49881992	25.83515107	23.67124135	19.8496839	18.40221497	15.92577556	19.75607787	23.58223135	26.68166887	28.08571606	28.28069135
28	2	12	4	13	24.94929811	25.18198129	25.04852898	24.97424584	24.5459083	23.89448532	23.50810562	23.19616969	25.06866913	26.53129367	26.68245474	25.92943084	25.24533877
29	2	1	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
30	1	8	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
31	1	5	3	14	26.07742697	25.71621959	25.40229348	25.77674394	26.48499881	26.94780932	26.62769263	26.19954269	26.46593086	26.28320907	25.9480539	25.79821039	25.55482845
32	2	7	2	15	12.22626681	-0.849677045	3.82309171	7.56265361	12.41870375	15.42421199	18.10960552	22.14704666	22.93097416	18.55017924	13.07950676	8.016453138	2.401105594
33	2	2	4	0	30.48764626	26.19528406	28.7444895	32.16021181	34.71955376	34.92125419	34.04346052	30.34674348	28.22169703	29.48419327	30.93858151	29.96851806	26.96793087
34	2	3	4	0	19.68650983	19.49802356	19.91822746	19.83919457	19.00021872	18.34832427	18.47396853	19.53021951	20.93666499	21.71972659	20.53809074	19.37036479	18.96127828
35	2	5	3	16	27.17969373	26.16858638	27.13810701	29.39023451	30.38370155	29.38503919	28.43690641	26.33153015	26.44346623	26.6000747	26.40708008	25.65290215	24.79035265
36	2	3	4	17	25.10083784	25.41185501	26.61237546	27.56377427	27.4122827	26.10525107	25.30922513	23.22856205	22.72609066	23.33435301	23.99402361	25.08115817	25.34543961
37	1	10	1	18	-3.2099854	-18.69514988	-19.72572872	-13.69602165	-6.91899888	3.723355841	7.079897962	14.03697935	12.62589105	6.588038139	-1.214121809	-10.08498158	-16.59734253
38	2	3	4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
39	1	8	4	0	27.62600937	25.78439142	25.94966141	25.94709601	26.83649259	27.81521606	28.17454347	29.13139139	29.40161468	29.30776691	28.55673596	27.4083369	26.74420721
